elo_diff,h2h_home_win_rate,h2h_total_games,home_venue_win_rate,away_venue_win_rate,rolling_margin_diff,rolling_score_for_diff,rolling_score_against_diff,rolling_win_rate_diff,streak_diff,rest_diff,ladder_position_diff,venue_encoded,away_interstate,home_interstate
-10.2,0.7142857142857143,21.0,0.6666666666666666,0.5,17.599999999999998,13.900000000000006,-3.700000000000003,0.20000000000000007,7.0,0.0,3.0,12.0,1.0,0.0
-48.0,0.6,20.0,0.25,1.0,-6.6,-15.400000000000006,-8.799999999999997,-0.19999999999999996,1.0,7.0,2.0,13.0,1.0,0.0
-325.5,0.3333333333333333,12.0,0.36065573770491804,0.6435643564356436,-66.9,-34.4,32.5,-0.7000000000000001,-3.0,0.0,1.0,13.0,0.0,0.0
17.0,0.6,10.0,0.5277777777777778,0.5217391304347826,-7.600000000000001,-9.400000000000006,-1.7999999999999972,0.09999999999999998,0.0,0.0,1.0,13.0,0.0,0.0
-4.8,0.1,10.0,0.7164179104477612,0.5555555555555556,-10.9,-0.20000000000000284,10.699999999999989,-0.09999999999999998,4.0,0.0,1.0,0.0,1.0,0.0
57.2,0.2222222222222222,9.0,0.3723404255319149,0.5,20.6,23.10000000000001,2.5,0.29999999999999993,3.0,0.0,1.0,13.0,1.0,0.0
-103.8,0.4,10.0,0.5257731958762887,0.7619047619047619,-2.9000000000000004,3.799999999999997,6.700000000000003,0.0,1.0,0.0,1.0,6.0,1.0,0.0
-247.0,0.1111111111111111,9.0,0.345679012345679,0.8333333333333334,-18.4,-1.0,17.400000000000006,-0.4,-5.0,0.0,1.0,9.0,1.0,0.0
-62.0,0.5555555555555556,9.0,0.5882352941176471,0.5,-30.2,-23.5,6.699999999999989,-0.2,-3.0,0.0,1.0,17.0,1.0,0.0
68.3,0.6,10.0,0.43820224719101125,0.25,30.8,24.4,-6.3999999999999915,0.19999999999999998,-1.0,0.0,1.0,6.0,1.0,0.0
41.2,0.375,8.0,0.5357142857142857,0.6666666666666666,-6.700000000000001,-14.700000000000003,-8.0,-0.09999999999999998,-2.0,0.0,1.0,23.0,1.0,0.0
98.3,0.5454545454545454,11.0,0.6470588235294118,0.5229357798165137,11.100000000000001,11.400000000000006,0.30000000000001137,0.30000000000000004,3.0,1.0,6.0,13.0,0.0,0.0
13.3,0.6666666666666666,9.0,0.7297297297297297,0.5,-15.7,-21.799999999999997,-6.099999999999994,-0.19999999999999996,-2.0,0.0,3.0,19.0,1.0,0.0
97.7,0.4444444444444444,9.0,0.4492753623188406,0.4444444444444444,25.1,13.400000000000006,-11.700000000000003,0.3,-2.0,0.0,-9.0,6.0,0.0,0.0
215.3,0.5555555555555556,9.0,0.5757575757575758,0.0,49.1,15.399999999999999,-33.7,0.30000000000000004,6.0,-2.0,9.0,0.0,1.0,0.0
17.0,0.7777777777777778,9.0,0.8448275862068966,0.2,11.0,3.3999999999999915,-7.6000000000000085,0.0,3.0,1.0,6.0,12.0,0.0,0.0
14.4,0.7,10.0,0.631578947368421,0.0,-8.599999999999998,0.8999999999999915,9.5,0.0,-2.0,1.0,-11.0,17.0,1.0,0.0
